,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4
moscow,2.6069480901889334E-6,4.7021140234438E-6,7.215991461764009E-5,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,3.4950275177645306E-4,4.9181061553541216E-6,1.283145637640894E-4,1.7761894696831102E-5
mosqu,2.6069480901889334E-6,4.7021140234438E-6,7.215991461764009E-5,3.818684287603444E-6,3.9541119436495986E-4,3.244614750667579E-5,2.4787429204003767E-6,1.5246129081597775E-4,1.8941673698508435E-4,1.7761894696831102E-5
mostli,1.0688487169774627E-4,4.7021140234438E-6,1.4088364282491633E-4,1.1837921291570675E-4,2.779623247516054E-4,3.244614750667579E-5,2.2556560575643424E-4,1.5246129081597775E-4,6.110217322099495E-6,3.7299978863345314E-4
mother,2.6069480901889334E-6,4.7021140234438E-6,1.4088364282491633E-4,8.019237003967232E-5,3.9149623204451475E-6,3.244614750667579E-5,1.0162845973641542E-4,5.459097832443074E-4,0.002083584106835928,1.7761894696831102E-5
motion,2.867642899207827E-5,5.172325425788181E-5,3.4361864103638136E-6,5.00247641676051E-4,8.221420872934809E-5,3.244614750667579E-5,2.4787429204003767E-6,5.409916770889534E-5,6.110217322099495E-6,1.7761894696831102E-5
motiv,2.3723227620719292E-4,3.338500956645098E-4,3.4361864103638136E-6,8.019237003967232E-5,3.9541119436495986E-4,3.244614750667579E-5,3.247153225724493E-4,2.0164235236951896E-4,1.8941673698508435E-4,1.7761894696831102E-5
mount,2.6069480901889334E-6,9.874439449231981E-5,3.4361864103638136E-6,4.2005527163637885E-5,1.9966307834270249E-4,3.244614750667579E-5,1.5120331814442295E-4,5.409916770889534E-5,1.8941673698508435E-4,1.7761894696831102E-5
mountain,5.4745909893967604E-5,5.172325425788181E-5,3.4361864103638136E-6,3.818684287603444E-6,4.306458552489662E-5,3.244614750667579E-5,2.7266172124404146E-5,4.9181061553541216E-6,6.17131949532049E-4,1.7761894696831102E-5
mourn,2.6069480901889334E-6,1.927866749611958E-4,3.4361864103638136E-6,3.818684287603444E-6,1.6051345513825102E-4,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,2.5051891020607927E-4,1.7761894696831102E-5
mousavi,2.6069480901889334E-6,3.338500956645098E-4,3.4361864103638136E-6,3.818684287603444E-6,3.171119479560569E-4,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,4.94927603090059E-4,1.7761894696831102E-5
move,0.0011496641077733197,0.001086188339415518,0.0015153582069704417,0.0015694792422050153,0.0013741517744762467,3.244614750667579E-5,8.452513358565284E-4,0.0010869014603332608,7.393362959740388E-4,1.7761894696831102E-5
movement,3.1544071891286094E-4,0.0040485201741851115,1.0652177872127821E-4,3.0931342729587893E-4,6.694585567961202E-4,3.244614750667579E-5,1.264158889404192E-4,4.47547660137225E-4,6.721239054309445E-5,1.7761894696831102E-5
movi,2.6069480901889334E-6,2.398078151956338E-4,1.7524550692855445E-4,3.818684287603444E-6,1.2136383193379956E-4,3.244614750667579E-5,2.7266172124404146E-5,5.409916770889534E-5,1.283145637640894E-4,1.7761894696831102E-5
moynihan,2.6069480901889334E-6,4.7021140234438E-6,3.4361864103638136E-6,1.1837921291570675E-4,3.9149623204451475E-6,3.244614750667579E-5,1.7599074734842672E-4,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
mp,2.6069480901889334E-6,8.040614980088899E-4,7.215991461764009E-5,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,1.0162845973641542E-4,3.983665985836838E-4,6.110217322099495E-6,1.7761894696831102E-5
