S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,
time (0.006),powerless (0.003),hillari (0.012),polici (0.004),american (0.004),make (0.009),make (0.013),photo (0.010),peopl (0.004),immedi (0.016),obama (0.010),new (0.008),fein (0.008),advis (0.009),
like (0.006),romney (0.003),good (0.011),slaughter (0.004),clinton (0.004),market (0.009),minist (0.013),camera (0.010),also (0.004),direct (0.014),parent (0.010),secret (0.008),sinn (0.008),economi (0.009),
talk (0.006),rove (0.003),sid (0.011),fuch (0.003),state (0.004),seed (0.009),new (0.013),spray (0.010),women (0.004),oper (0.012),rate (0.010),us (0.008),david (0.007),libyan (0.009),
think (0.006),tactic (0.003),work (0.011),michael (0.003),work (0.004),state (0.009),uk (0.013),treati (0.009),time (0.004),contact (0.011),sean (0.010),voter (0.008),justic (0.007),lissa (0.009),
discuss (0.005),meet (0.002),aq (0.010),contact (0.002),vote (0.003),obama (0.008),move (0.011),floor (0.009),support (0.003),offic (0.011),sid (0.010),farmer (0.006),cent (0.007),nation (0.009),
need (0.005),impress (0.002),dissatisfi (0.010),joann (0.002),also (0.003),scientist (0.008),presid (0.011),press (0.009),year (0.003),rate (0.011),amazon (0.008),internet (0.006),per (0.007),presid (0.009),
ask (0.005),administ (0.002),look (0.010),laszczych (0.002),peopl (0.003),unit (0.008),remark (0.011),staff (0.009),afghanistan (0.003),joann (0.010),announc (0.008),north (0.006),us (0.007),secretari (0.009),
good (0.005),admit (0.002),make (0.009),need (0.002),support (0.003),educ (0.007),clinton (0.010),washington (0.008),offici (0.003),call (0.009),everi (0.008),parti (0.006),member (0.007),send (0.009),
state (0.005),advis (0.002),sens (0.009),nora (0.002),nation (0.003),share (0.007),egypt (0.010),offici (0.008),isra (0.003),current (0.009),go (0.008),rate (0.006),power (0.007),summer (0.009),
email (0.005),also (0.002),us (0.009),pleas (0.002),first (0.003),work (0.007),game (0.010),preced (0.007),peac (0.003),poll (0.009),libya (0.008),reform (0.006),assembl (0.007),took (0.009),
secretari (0.005),beaten (0.002),email (0.007),reach (0.002),bill (0.003),comprehens (0.006),im (0.010),top (0.007),world (0.003),center (0.008),lower (0.008),right (0.006),would (0.007),afghanistan (0.007),
week (0.005),campaign (0.002),hrc (0.007),toiv (0.002),polici (0.003),expand (0.006),meet (0.010),minist (0.007),militari (0.003),intermitt (0.008),offic (0.008),sep (0.006),minist (0.007),aid (0.007),
hope (0.004),catch (0.002),past (0.007),toivnf (0.002),right (0.003),famili (0.006),secretari (0.010),foreign (0.007),need (0.003),laszczych (0.008),record (0.008),strategi (0.006),elect (0.006),carri (0.007),
sent (0.004),child (0.002),see (0.007),urgent (0.002),get (0.003),increas (0.006),let (0.008),brief (0.007),forc (0.003),nora (0.008),servic (0.008),sun (0.006),first (0.006),date (0.007),
h (0.004),creat (0.002),thing (0.007),cell (0.001),elect (0.003),must (0.006),may (0.008),hous (0.007),like (0.003),toiv (0.008),smith (0.008),attack (0.005),agreement (0.006),david (0.007),
morn (0.004),dress (0.002),via (0.007),mike (0.001),think (0.003),new (0.006),rebel (0.008),center (0.006),polici (0.003),countri (0.008),state (0.008),busi (0.005),govern (0.006),develop (0.007),
send (0.004),ed (0.002),wish (0.007),cdm (0.001),good (0.003),solut (0.006),speech (0.008),fm (0.005),issu (0.003),depart (0.008),steven (0.008),campaign (0.005),point (0.006),emerg (0.007),
draft (0.004),edit (0.002),b (0.006),best (0.001),govern (0.003),train (0.006),strategist (0.008),presidenti (0.005),polit (0.003),emerg (0.008),two (0.008),care (0.005),two (0.006),food (0.007),
